,Region,Residence Type,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,Approximated Social Grade
0,1,0,1,0,0,2,1,1,1,2,1,2,1,6,10,0,4
1,3,0,2,0,1,4,0,1,1,1,2,2,5,9,11,3,1
2,5,0,2,0,1,5,1,0,2,1,1,1,5,0,11,3,3
3,0,0,2,0,0,2,4,1,1,3,1,2,0,9,0,0,0
4,1,0,1,0,1,0,0,0,1,2,3,1,0,9,4,3,2
5,3,0,2,0,0,0,3,1,1,2,1,2,0,3,0,3,0
6,2,0,3,0,0,7,1,1,1,1,1,1,0,4,9,0,4
7,2,0,2,0,1,2,0,1,1,1,1,6,2,3,4,0,4
8,4,0,2,0,0,0,1,1,1,2,1,2,1,0,0,0,4
9,3,0,2,0,1,0,3,1,1,2,1,2,1,4,6,0,3
10,2,0,5,0,0,3,1,1,2,4,1,2,1,2,0,0,4
11,0,0,6,0,1,0,1,0,1,1,1,2,5,9,4,0,3
12,3,0,2,0,0,1,1,1,1,5,1,2,1,2,0,2,0
13,3,0,2,0,0,0,0,1,1,3,1,1,2,2,4,0,2
14,3,0,3,0,0,0,0,1,1,1,1,1,3,3,8,0,0
15,1,0,2,0,1,2,3,1,2,1,2,6,1,9,9,0,3
16,5,0,5,0,0,1,3,1,1,4,1,2,1,0,8,3,1
17,3,0,3,0,0,4,1,1,1,2,1,2,1,9,4,0,0
18,3,0,2,0,0,4,1,0,2,4,3,1,0,2,4,3,0
19,5,0,2,0,0,2,1,0,2,1,1,1,1,8,11,3,3
20,4,0,2,0,0,4,1,0,1,2,1,6,1,2,4,0,3
21,2,0,1,0,1,3,0,0,1,1,1,2,0,5,0,0,4
22,1,0,5,0,1,2,1,1,1,2,1,2,2,4,10,0,0
23,3,0,3,0,0,0,0,0,2,1,3,9,0,4,0,0,2
24,5,0,4,0,1,4,0,0,1,1,1,2,1,2,11,0,1
25,5,0,2,0,0,5,0,1,1,3,1,6,0,4,2,2,4
26,0,0,2,0,0,0,1,1,1,1,1,1,4,0,5,3,0
27,5,0,5,0,0,1,0,1,1,1,1,1,7,2,4,0,1
28,0,0,3,0,0,0,0,1,1,2,1,9,0,8,0,0,2
29,1,0,4,0,0,0,1,1,1,1,1,1,0,9,0,3,3
30,0,0,2,0,0,6,3,1,1,1,1,2,1,4,0,0,2
31,1,0,3,0,0,6,1,1,1,3,1,2,1,0,0,4,0
32,0,0,3,0,0,4,0,1,1,2,1,2,1,0,4,0,4
33,4,0,2,0,1,6,3,1,1,1,1,1,5,1,11,3,2
34,5,0,2,0,1,4,4,1,1,3,1,1,0,0,4,3,4
35,4,0,5,0,1,7,0,1,1,1,1,9,0,3,0,0,4
36,2,0,3,0,1,2,1,1,1,2,1,1,2,5,11,3,2
37,5,0,2,0,1,0,0,0,1,1,1,2,1,5,11,0,2
38,5,0,0,0,1,5,0,1,1,1,1,2,1,6,2,3,4
39,5,0,2,0,0,3,0,0,1,1,1,1,7,4,9,2,4
40,2,0,2,0,1,2,1,1,2,1,1,2,5,4,0,3,4
41,5,0,2,0,0,2,3,1,1,3,1,7,1,4,3,0,3
42,2,0,4,0,1,7,0,1,1,2,1,2,2,9,0,3,4
43,4,0,2,0,1,0,0,1,1,3,0,2,5,0,0,0,4
44,2,0,2,0,0,6,0,0,1,1,1,1,1,0,2,2,4
45,3,0,3,0,1,7,0,0,1,2,1,2,0,8,2,0,4
46,3,0,2,0,1,1,0,1,1,1,1,2,6,0,3,0,2
47,4,0,3,0,1,6,0,1,1,2,1,6,1,4,9,3,4
48,3,0,1,0,1,4,0,0,1,1,4,2,1,5,3,0,2
49,2,0,3,0,1,0,0,0,1,1,1,2,1,2,0,2,0
50,5,0,1,0,0,4,0,1,1,2,1,9,0,5,2,1,1
51,2,0,3,0,1,1,0,1,1,1,1,2,8,0,3,3,4
52,1,0,2,0,1,0,0,1,1,2,1,1,1,4,11,4,4
53,5,0,2,1,0,5,0,0,1,1,1,1,9,3,2,3,4
54,5,0,1,0,0,1,1,1,1,2,1,8,4,8,4,0,1
55,4,0,1,0,0,0,3,1,1,1,1,2,1,3,4,3,4
56,5,0,2,0,0,2,1,1,1,3,1,1,0,2,6,2,3
57,3,0,2,0,1,4,0,1,1,1,2,2,9,2,10,2,2
58,1,0,2,0,1,5,0,1,1,2,1,1,0,0,4,0,2
59,5,0,5,0,0,0,1,1,1,2,1,6,8,0,11,0,2
60,1,0,2,0,0,3,1,1,1,1,1,1,7,2,2,0,0
61,5,0,1,0,0,7,1,1,1,1,1,2,1,0,4,0,0
62,1,0,2,0,1,2,0,1,1,1,4,2,0,3,7,0,0
63,2,0,2,0,1,2,3,1,1,1,1,1,5,2,0,1,0
64,4,0,2,0,0,4,0,0,1,1,1,2,5,9,2,0,4
65,5,0,2,0,0,1,0,0,1,2,1,2,0,1,0,0,2
66,4,0,2,0,1,2,1,1,1,2,1,2,1,0,0,3,2
67,0,0,1,0,0,7,2,1,1,1,1,9,1,1,2,3,2
68,4,0,2,0,0,2,0,1,2,1,1,2,0,2,2,2,2
69,3,0,2,0,0,3,1,1,1,1,4,9,9,4,11,0,2
70,5,0,1,0,1,0,3,1,1,3,1,1,5,6,10,0,0
71,5,0,3,0,0,1,1,1,1,1,1,6,1,3,11,4,0
72,0,0,1,0,0,5,2,1,1,2,1,0,1,0,2,3,4
73,0,0,3,0,0,4,0,0,1,2,1,1,6,2,11,3,4
74,5,0,4,0,1,3,2,1,1,2,1,1,2,9,4,0,2
75,2,0,2,0,0,4,1,1,1,1,1,1,3,1,0,0,2
76,1,0,1,0,1,6,0,1,1,1,1,2,0,2,3,2,4
77,1,0,2,0,1,2,0,0,1,2,1,2,9,5,6,2,1
78,0,0,5,0,0,4,2,1,2,2,1,2,1,4,0,0,4
