,Region,Residence Type,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,Approximated Social Grade
0,1,0,2,0,1,2,0,1,1,1,1,1,3,4,10,0,1
1,5,0,1,0,0,6,4,1,1,1,1,2,5,3,8,0,2
2,3,0,2,0,0,0,0,0,1,1,1,2,0,0,0,0,0
3,3,0,2,0,1,5,1,1,1,3,1,9,5,7,4,0,2
4,3,0,3,0,1,1,0,1,2,2,3,7,1,3,6,3,2
5,4,0,2,0,1,7,1,1,1,3,1,2,5,9,5,0,3
6,4,0,2,0,0,0,0,0,1,2,1,2,0,0,0,0,0
7,0,0,2,0,1,5,1,1,1,2,1,2,2,7,3,4,4
8,5,0,1,0,1,1,0,0,1,1,1,2,6,9,8,0,2
9,1,0,2,0,1,3,1,1,1,1,1,2,1,0,0,4,3
10,2,0,2,0,1,6,1,1,1,1,1,2,1,6,11,2,3
11,5,0,2,0,1,6,1,1,1,1,1,2,5,3,2,0,2
12,2,0,5,0,0,4,3,1,1,2,1,2,1,1,5,3,1
13,1,0,1,0,1,2,0,1,1,1,3,2,1,9,8,3,4
14,2,0,3,0,0,2,0,1,1,2,1,2,1,0,0,3,4
15,3,0,2,0,0,6,1,1,2,2,1,2,5,2,10,0,1
16,5,0,3,0,1,4,1,1,1,3,1,2,7,4,4,0,2
17,5,0,2,0,0,4,1,1,1,3,1,1,1,2,11,2,2
18,2,0,2,0,1,3,0,1,1,1,1,2,1,9,8,3,4
19,5,0,2,0,1,2,0,1,1,2,3,7,1,2,11,3,1
20,3,0,2,0,1,6,1,1,2,2,5,6,2,7,5,1,4
21,0,0,2,0,0,4,1,1,1,3,1,2,8,0,0,0,4
22,5,0,1,0,1,0,0,0,1,2,1,2,0,0,0,0,0
23,1,0,2,0,0,0,0,0,1,1,1,2,0,0,0,0,0
24,2,0,1,0,1,7,4,1,1,2,1,2,5,7,4,0,4
25,2,0,2,0,1,0,0,0,1,2,1,1,0,0,0,0,0
26,1,0,5,0,0,4,3,1,2,2,1,2,2,1,4,2,2
27,5,0,3,0,0,0,0,0,1,1,3,6,0,0,0,0,0
28,4,0,2,0,1,5,1,1,1,3,1,1,1,7,4,3,1
29,1,0,5,0,1,1,0,1,2,1,4,2,6,4,5,0,2
30,3,0,5,0,1,1,0,0,2,1,3,6,4,4,12,1,2
31,2,0,0,0,1,1,0,0,1,2,1,1,6,6,8,0,2
32,3,0,1,0,0,5,3,1,1,2,1,2,1,2,11,3,1
33,1,0,2,0,1,3,0,1,1,4,1,1,8,7,7,0,4
34,2,0,5,0,0,3,0,1,1,1,1,2,1,0,0,3,4
35,5,0,1,0,1,7,4,1,2,4,1,2,5,9,5,0,4
36,1,0,3,0,1,0,0,0,1,1,1,1,0,0,0,0,0
37,1,0,4,0,0,7,4,1,1,3,1,2,5,6,12,0,3
38,0,0,2,0,1,1,0,1,1,1,1,1,1,9,4,3,3
39,4,0,2,0,0,1,0,1,1,1,1,1,1,7,4,3,2
40,5,0,1,0,0,2,0,1,2,2,1,2,9,5,1,0,3
41,3,0,2,0,1,4,1,1,1,1,1,2,1,3,2,4,2
42,4,0,2,0,0,4,1,1,1,3,1,2,7,9,4,0,4
43,5,0,2,0,1,6,1,1,1,1,1,2,1,9,5,3,4
44,5,0,2,0,1,7,1,1,1,3,1,2,5,0,0,0,4
45,2,0,3,0,0,6,0,1,1,4,1,1,5,9,5,0,2
46,5,0,5,0,1,3,0,1,1,1,1,2,1,2,10,3,1
47,5,0,5,0,0,5,3,1,1,2,1,2,1,0,0,4,2
48,0,0,1,0,1,6,4,1,1,4,1,2,5,2,4,0,1
49,2,0,2,0,0,4,0,1,1,3,1,2,2,2,10,4,1
50,2,0,3,0,1,0,0,0,1,1,1,2,0,0,0,0,0
51,3,0,2,0,0,4,1,1,1,3,1,2,1,9,4,4,4
52,5,0,1,0,1,6,0,1,1,2,1,2,5,9,5,0,4
53,5,0,2,0,1,4,1,1,1,1,1,2,2,4,12,2,1
54,4,0,1,0,0,4,3,1,1,2,1,2,2,5,2,1,3
55,4,0,2,0,0,4,0,1,1,2,1,2,1,7,8,1,4
56,4,0,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0
57,3,0,2,0,1,2,0,1,1,1,3,4,1,9,4,2,2
58,2,0,2,0,0,2,1,1,1,2,1,2,1,5,4,3,3
59,1,0,3,0,0,1,0,1,1,1,1,1,1,0,0,3,2
60,5,0,5,0,0,3,0,1,1,3,1,2,1,5,11,3,3
61,5,0,3,0,1,7,3,1,1,4,1,2,5,9,5,0,4
62,5,0,2,0,0,3,1,1,1,2,1,1,1,0,0,3,4
63,4,0,5,0,0,3,0,1,1,2,1,2,2,8,2,3,3
64,5,0,2,0,0,0,0,0,1,2,1,2,0,0,0,0,0
65,2,0,2,0,0,3,1,1,1,3,1,1,8,8,10,0,4
66,1,0,3,0,1,6,3,1,1,3,2,9,5,1,8,0,2
67,3,0,3,1,1,2,0,1,0,1,0,6,1,2,10,2,4
68,5,0,2,0,0,3,1,1,1,3,1,2,8,0,0,0,4
69,2,0,2,0,0,0,0,0,1,1,1,2,0,0,0,0,0
70,2,0,2,0,0,5,1,1,1,2,1,2,1,0,0,3,2
71,5,0,1,0,0,3,3,1,1,2,1,1,1,3,4,3,1
72,1,0,2,0,1,1,0,0,1,1,3,7,6,0,0,0,2
73,2,0,2,0,1,2,1,1,1,2,1,2,3,3,2,0,2
74,4,0,1,0,1,0,0,0,2,1,3,6,0,0,0,0,0
75,3,0,2,0,1,0,0,0,1,1,1,1,0,0,0,0,0
76,2,0,2,0,0,0,0,1,1,1,1,2,0,0,0,0,0
77,1,0,1,0,1,7,4,1,1,1,1,2,5,9,2,0,4
78,1,0,2,0,0,3,1,1,1,4,1,2,8,2,11,0,1
79,5,0,2,0,1,0,0,0,1,1,1,2,0,0,0,0,0
80,0,0,5,0,0,6,0,1,1,4,1,2,5,3,8,0,2
81,3,0,2,0,0,5,0,1,1,1,1,1,2,8,2,4,4
82,4,0,5,0,0,5,3,1,1,2,1,9,5,5,3,0,3
83,3,0,1,0,1,1,0,0,0,3,0,0,6,4,9,0,2
84,1,0,2,0,1,5,1,1,1,2,3,4,1,1,2,4,1
85,2,0,1,0,0,6,4,1,1,2,1,2,5,9,5,0,4
86,2,0,5,0,1,0,0,0,1,1,1,2,0,0,0,0,0
87,3,0,3,0,0,3,0,1,1,2,1,2,3,1,3,0,4
88,2,0,2,0,1,4,1,1,1,3,1,2,2,9,1,3,2
89,3,0,5,0,0,2,0,1,2,1,3,6,1,7,4,4,4
90,3,0,3,0,0,1,0,1,2,1,1,1,1,3,2,3,2
91,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
92,3,0,2,0,0,3,0,1,1,2,1,9,1,5,3,3,3
93,0,0,2,0,1,5,1,1,1,2,1,2,1,2,10,3,1
94,5,0,2,0,1,2,1,1,1,0,1,2,0,0,0,0,0
95,2,0,5,0,1,3,0,1,1,4,1,1,8,9,5,0,4
96,1,0,3,0,0,0,0,0,1,1,1,2,0,0,0,0,0
97,1,0,2,0,1,5,1,1,1,2,1,2,2,4,8,3,2
98,3,0,3,0,0,2,0,1,1,3,1,1,7,1,8,0,4
99,4,0,2,0,0,6,1,1,2,2,1,2,5,0,0,0,4
100,2,0,1,0,1,1,0,0,1,1,3,2,4,4,2,2,2
101,4,0,4,0,0,3,2,1,1,2,1,2,1,8,6,3,4
102,3,0,3,0,0,7,3,1,1,2,1,2,5,5,5,0,3
103,5,0,4,0,1,5,1,1,1,1,1,2,1,1,6,4,1
104,5,0,3,0,1,1,0,1,1,1,1,2,1,7,5,1,4
105,2,0,2,0,1,3,1,1,1,1,1,1,1,0,0,3,2
106,5,0,2,1,0,2,0,1,0,5,0,3,9,2,10,0,1
107,4,0,2,0,1,0,0,0,1,1,1,1,0,0,0,0,0
108,1,0,2,0,1,5,1,1,1,1,1,2,1,7,4,1,4
109,3,0,2,0,1,1,0,1,2,3,3,6,1,0,0,3,2
110,3,0,2,0,1,3,1,1,2,1,1,2,1,0,0,3,2
111,4,0,2,0,1,4,1,1,1,3,1,2,7,9,8,0,4
112,5,0,1,0,0,6,4,1,1,4,1,2,5,0,0,0,2
113,5,0,0,0,0,2,0,1,1,2,4,6,7,2,10,0,1
114,1,0,2,0,1,3,1,1,1,1,1,2,1,4,3,3,2
115,3,0,2,0,1,5,1,1,1,2,1,1,5,4,10,0,2
116,3,0,2,0,0,1,0,0,2,1,1,1,6,4,9,0,2
117,4,0,2,0,0,4,1,1,1,2,1,9,2,2,11,3,1
118,3,0,3,0,0,4,0,1,1,1,1,2,1,0,0,3,3
119,2,0,2,0,1,4,1,1,1,1,1,2,1,3,4,3,2
120,4,0,2,0,0,5,1,1,1,1,3,4,7,8,4,0,4
121,2,0,2,0,1,6,1,1,1,3,1,9,2,7,4,2,3
122,2,0,2,0,0,7,1,1,1,2,1,2,5,5,3,0,3
123,0,0,5,0,1,0,0,0,1,1,1,1,0,0,0,0,0
124,0,0,2,0,0,7,1,1,1,2,1,2,5,8,4,0,3
125,2,0,2,0,1,2,0,1,1,1,1,1,9,4,8,0,2
126,5,0,2,0,1,2,0,1,1,2,1,8,1,7,7,3,4
127,4,0,2,0,0,3,0,1,1,0,1,1,1,9,10,2,3
128,3,0,1,0,1,0,0,0,1,1,1,2,0,0,0,0,0
129,1,0,5,1,0,1,0,1,0,1,0,0,1,9,6,3,4
130,4,0,2,0,0,0,0,0,1,2,1,2,0,0,0,0,0
131,4,0,3,0,0,0,0,0,1,2,1,2,0,0,0,0,0
132,2,0,2,0,1,6,1,1,1,3,1,2,5,8,2,0,4
133,2,0,3,0,1,1,0,1,2,2,4,2,9,7,4,0,4
134,2,0,5,0,1,1,0,1,2,2,3,4,1,8,3,3,4
135,0,0,1,0,1,0,0,0,1,1,1,9,0,0,0,0,0
136,0,0,2,0,0,6,1,1,1,3,1,2,5,5,3,0,3
137,3,0,1,0,0,2,0,1,1,1,1,2,1,4,6,3,3
138,0,0,2,0,1,5,1,1,1,2,1,2,1,2,11,3,1
139,2,0,5,0,1,1,0,1,1,3,1,1,1,1,4,3,2
140,5,0,2,0,1,2,0,1,1,1,1,1,1,7,4,3,2
141,1,0,1,0,0,4,3,1,1,1,1,9,1,3,8,3,2
142,1,0,2,0,0,5,1,1,1,2,1,2,2,6,10,1,3
143,4,0,3,0,1,1,0,0,1,1,3,9,4,4,9,1,2
144,3,0,1,0,0,4,4,1,1,1,1,2,7,0,0,0,3
145,3,0,2,0,0,5,1,1,1,3,1,1,9,8,2,0,4
146,2,0,2,1,1,2,0,1,0,2,0,3,1,6,11,2,3
147,2,0,2,0,0,1,0,0,1,1,1,2,6,0,0,0,2
148,5,0,3,0,1,0,0,0,1,1,1,1,0,0,0,0,0
149,0,0,2,0,1,4,1,1,1,1,1,9,1,2,10,3,1
150,2,0,1,0,1,6,4,1,1,3,1,1,5,9,11,0,4
151,4,0,3,0,1,0,0,0,1,1,1,9,0,0,0,0,0
152,3,0,1,0,0,4,0,1,2,2,3,4,1,8,2,3,2
153,5,0,5,0,1,0,0,1,1,2,1,2,0,0,0,0,0
154,3,0,2,0,1,2,1,1,1,2,1,2,1,6,11,3,3
155,4,0,5,0,1,2,0,1,1,3,1,2,1,4,3,4,2
156,2,0,2,0,1,2,1,1,1,2,1,1,1,1,8,3,1
157,5,0,5,0,0,4,3,1,1,1,1,2,2,9,5,3,3
158,1,0,5,0,0,0,0,0,1,1,4,2,0,0,0,0,0
159,4,0,2,0,1,3,1,1,1,2,3,1,9,2,10,0,1
160,0,0,5,0,0,1,0,0,1,1,1,2,6,7,4,0,2
161,2,0,1,0,1,6,3,1,1,1,1,2,5,3,8,0,2
162,5,0,5,0,1,0,0,0,1,1,1,2,0,0,0,0,0
163,4,0,1,0,1,2,0,1,1,1,1,1,2,4,2,4,2
164,3,0,5,0,1,1,0,0,1,2,1,2,6,4,2,0,2
165,5,0,2,0,1,2,1,1,1,4,1,2,1,4,8,3,2
166,0,0,3,0,1,3,0,1,1,2,1,1,2,6,11,4,3
167,5,0,2,0,0,4,1,1,1,1,1,2,1,7,4,3,4
168,2,0,5,0,0,1,0,1,1,3,1,1,2,8,2,2,3
169,3,0,1,0,0,3,3,1,1,2,1,1,1,4,11,3,1
170,1,0,2,0,0,5,1,1,1,1,3,6,1,1,5,3,2
171,3,0,2,0,1,5,1,1,1,1,1,9,1,8,6,3,4
172,3,0,2,0,0,3,1,1,1,1,1,1,1,6,11,3,3
173,1,0,5,0,0,4,4,1,1,2,1,2,1,2,6,4,1
174,5,0,1,0,1,4,0,1,1,3,1,2,1,7,8,3,2
175,2,0,2,0,0,2,1,1,1,2,1,1,1,4,8,2,1
176,4,0,2,0,0,0,0,0,1,1,1,2,0,0,0,0,0
177,5,0,2,0,1,6,1,1,1,1,1,2,1,4,9,3,2
178,5,0,2,1,0,1,0,1,0,2,0,0,3,3,6,0,2
179,0,0,2,0,1,6,1,1,1,2,1,2,5,6,11,0,4
180,1,0,5,0,1,6,3,1,1,2,1,2,1,5,4,1,4
181,5,0,4,0,0,1,0,1,1,2,1,2,1,8,4,2,4
182,2,0,0,0,1,3,0,1,1,1,1,2,1,7,4,3,1
183,5,0,2,0,1,5,1,1,1,2,1,2,5,2,2,0,1
184,2,0,5,0,1,2,0,1,1,1,1,1,1,9,8,3,4
185,3,0,1,0,0,3,0,1,1,2,1,2,1,1,4,3,2
186,4,0,1,0,0,2,0,1,1,3,1,2,8,7,6,3,4
187,2,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
188,5,0,5,1,1,1,0,0,0,1,0,0,4,3,8,2,2
189,3,0,2,0,0,2,1,1,2,2,3,7,1,2,10,3,1
190,5,0,5,0,0,0,0,1,1,2,1,2,0,0,0,0,0
191,5,0,3,0,1,0,0,0,1,1,1,1,0,0,0,0,0
192,1,0,5,0,1,1,0,0,1,1,1,2,6,3,4,0,2
193,1,0,1,0,1,5,3,1,1,1,1,2,1,1,4,3,1
194,0,0,3,0,0,0,0,0,1,1,1,2,0,0,0,0,0
195,0,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0
196,0,0,2,0,0,5,1,1,1,3,1,2,5,5,4,0,3
197,3,0,2,0,1,6,1,1,1,1,1,2,5,5,4,0,2
198,0,0,2,0,0,6,1,1,1,4,1,2,1,8,11,3,4
199,0,0,2,0,0,4,1,1,1,1,1,2,1,2,11,3,2
200,3,0,2,0,0,1,1,1,0,2,0,0,1,0,0,3,2
201,2,0,1,0,1,2,0,1,1,4,1,9,8,4,2,0,2
202,0,0,2,0,1,7,1,1,2,3,4,2,8,6,12,0,2
203,5,0,2,0,0,5,1,1,1,2,1,9,1,1,2,2,1
204,1,0,1,0,0,0,0,0,1,2,1,2,0,0,0,0,0
205,3,0,3,0,1,1,0,0,1,2,1,1,4,3,6,1,2
206,0,0,2,0,1,5,1,1,1,1,1,2,1,1,10,3,1
207,5,0,2,0,1,7,1,1,1,4,1,1,5,9,8,0,4
208,0,0,3,0,0,7,4,1,1,2,1,2,5,0,0,0,4
209,0,0,2,0,1,4,1,1,1,2,1,2,2,3,8,4,2
210,5,0,2,0,1,3,1,1,2,4,3,2,8,9,2,0,4
211,0,0,2,0,1,1,0,0,1,2,1,2,6,4,9,0,2
212,3,0,3,0,0,1,0,1,1,1,1,2,3,9,8,0,4
213,2,0,1,0,1,0,0,0,2,2,1,2,0,0,0,0,0
214,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
215,3,0,3,0,0,3,0,1,1,1,1,1,9,9,5,0,2
